7,4114
8,4112
11,4223
12,4110
13,6221
16,6222
17,6223
19,6224
22,6225
23,6226
25,6230
30,4130
40,6231
48,6232
54,4134
65,6233
66,6234
116,4237
117,6241
124,4187
132,4132
137,6242
169,6243
172,6244
180,6245
181,6246
189,6247
190,4141
203,6248
204,4186
206,6249
220,6250
221,4162
222,4165
227,4214
228,4166
235,6251
255,4116
279,4234
280,6257
305,6259
306,4125
313,6260
330,6266
339,6267
341,6279
350,4172
371,6282
373,4131
376,6283
377,6284
390,4129
403,6289
408,6290
426,4167
432,6291
441,4133
463,6296
473,6297
474,4189
475,4109
483,4171
499,4218
505,4153
507,4159
510,4115
513,4193
538,4127
539,4197
547,6300
548,4168
551,4177
554,6301
578,6302
594,4201
608,6308
614,6309
618,6310
626,6311
643,4142
679,6312
723,6313
745,4196
770,4178
824,4190
839,4163
840,4224
841,4107
851,4213
852,4138
876,6317
877,6318
881,6319
887,4225
887,6320
890,4194
909,4149
928,6339
949,4236
958,4238
960,6340
981,6343
1017,6365
1035,6366
1048,4226
1050,4195
1057,6407
1068,6408
1081,4161
1083,4117
1084,4123
1085,6409
1103,4136
1107,4227
1112,4144
1113,4147
1132,4232
1134,6435
1142,4143
1143,6469
1145,4188
1150,4206
1151,4139
1153,4148
1159,4105
1174,4111
1193,6470
1197,6471
1199,4207
1214,6568
1221,4228
1222,4229
1225,6569
1226,4200
1237,6570
1240,6571
1248,4154
1271,6580
1273,6581
1287,6583
1293,4145
1294,4215
1299,4216
1307,4208
1326,4128
1331,4122
1332,4183
1333,4158
1334,4119
1339,6584
1340,6585
1345,4150
